simulation,timestep,config_id
1,1,377351
1,2,385543
1,3,386567
1,4,517639
1,5,517895
1,6,517639
1,7,501255
1,8,501255
1,9,517639
1,10,516615
2,1,377351
2,2,377607
2,3,361223
2,4,362247
2,5,493319
2,6,493447
2,7,1017735
2,8,1017607
2,9,1017735
2,10,886663
3,1,377351
3,2,385543
3,3,385551
3,4,385543
3,5,385799
3,6,385927
3,7,516999
3,8,508807
3,9,508805
3,10,508805
4,1,377351
4,2,360967
4,3,377351
4,4,360967
4,5,361991
4,6,362247
4,7,362375
4,8,362375
4,9,378759
4,10,362375
5,1,377351
5,2,378375
5,3,378375
5,4,361991
5,5,361989
5,6,361985
5,7,361987
5,8,361987
5,9,361987
5,10,361985
6,1,377351
6,2,377607
6,3,508679
6,4,508675
6,5,508679
6,6,516871
6,7,516999
6,8,500615
6,9,500615
6,10,492423
7,1,377351
7,2,377351
7,3,378375
7,4,377351
7,5,360967
7,6,377351
7,7,385543
7,8,385543
7,9,385543
7,10,385671
8,1,377351
8,2,378375
8,3,377351
8,4,377349
8,5,377345
8,6,385537
8,7,385537
8,8,385537
8,9,377345
8,10,360961
9,1,377351
9,2,385543
9,3,385543
9,4,385543
9,5,516615
9,6,516616
9,7,516872
9,8,517000
9,9,1041288
9,10,1041287
10,1,377351
10,2,377351
10,3,378375
10,4,361991
10,5,362247
10,6,362375
10,7,886663
10,8,1017735
10,9,1017731
10,10,1025923
